"Name","Type","Latitude","Longitude","Address"
"DCP Bangalore North Traffic Police","police","13.0181973","77.5581675",""
"Jayanagar 4th Block Police Station","police","12.9285653","77.5813657",""
"Cubbon Park Police Station","police","12.9762399","77.5983458",""
"Maleshwaram Police station","police","12.9966811","77.5696708",""
"Jalahalli Police Station","police","13.0486481","77.5495673",""
"Police Headquarters","police","12.9695368","77.5877623",""
"Tilaknagar Police Station","police","12.928367","77.5905691","Tilak Nagar Main Road"
"Indira Nagar Police Station","police","12.983019","77.6384106",""
"Jeevan Bhima Nagar Police Station","police","12.9677712","77.6556937",""
"Mico Layout Police Station","police","12.9086369","77.6105652",""
"Girinagar Police Station","police","12.935917","77.5439681",""
"Sanjayanagar Police station","police","13.0335598","77.5758979",""
"Seshadripuram Police Station","police","12.9881279","77.5744324",""
"Rajaji Nagar Police Station","police","12.9945063","77.554298",""
"Hebbal Police Station","police","13.0386192","77.5896244",""
"Vyali Kaval Police Station","police","13.0015732","77.578628",""
"Police Station","police","12.9363435","77.5615008",""
"Commercial Street Police Station","police","12.9825702","77.6070982","Commercial Street, Bangalore"
"Vijaynagar Traffic Police Station","police","12.9733449","77.5414869",""
"Kadugodi Police Station","police","12.995384","77.7574684",""
"Indiranagar Traffic Police Station","police","12.967409","77.6559012",""
"Vijayanagar Police Station","police","12.9707264","77.5377251",""
"Chamarajapet Police Station","police","12.9604765","77.5643202",""
"Shankarapuram Police Station","police","12.9538729","77.570101","Shankar Matt Road"
"Peenya Police Station","police","13.0360107","77.5211853",""
"Cottenpet Police Station","police","12.9680925","77.5700945",""
"Women's Police Station","police","12.9292268","77.5678506",""
"Thyagaraja Nagar Police Station","police","12.929436","77.5678479",""
"BSK 3rd stage Police Station","police","12.9235553","77.5533335",""
"Magadi Road Police Station","police","12.9744861","77.5512501",""
"Krishna Rajendra Market Police Station","police","12.9649402","77.5761878","Sultan Road"
"Hulimavu Police Station","police","12.87667","77.6000418",""
"Chikkapete Police Station","police","12.9707012","77.5736393",""
"Nandini Layout Police Station","police","13.0124684","77.5368288",""
"Banashankari Police Station","police","12.9229116","77.5650055",""
"Kodigehalli Police Station","police","13.0621975","77.5741087",""
"Hennur Police Station","police","13.0237703","77.6457711","Outer Ring Road, Babusabpalya, Hennur"
"Sampangi Rama Nagar Police Station","police","12.9632542","77.5920638","Mission Road (Kalinga Rao Road), Bangalore, 560027"
"Indiranagar Traffic Police Station","police","12.978243","77.6404269",""
"Karnataka State Reserve Police","police","12.9691307","77.6168652",""
"Vidhana Soudha Police Station","police","12.9773726","77.5884362",""
"Traffic Police Cabin","police","12.9568555","77.7011085",""
"J J R Nagar Police station","police","12.9643591","77.5551587","Hosahalli Main Road"
"Avenue Road Police Chowky","police","12.9680176","77.5787039",""
"Hulimavu Traffic Police Station","police","12.8565752","77.5889783","Gottigere Tank Bund Road, Banglore, 560001"
"Chennamanakere Achukattu Police Station","police","12.9301326","77.5606044","8th Cross Rd, Vidyapeeta Layout, Banashankari 3rd Stage, Bengaluru, 560085"
"Bellanduru Traffic Police Station","police","12.9217846","77.6616311","IBBLUR SAMUDAYA BAVANA, HSR Layout, Bengaluru, 560102"
"HAL Traffic Police Station","police","12.9588013","77.6675094","HAL Employees Quarters,Old Airport Road, Near HAL Post Office,Reddypalya, Bengalore, 560017"
"Upparpet Traffic Police Station","police","12.9744833","77.5748342","Kempe Gowda Circle, Danvanthri Rd, Majestic,, Bengalore, 560009"
"Traffic Police Station","police","12.9724461","77.5386676","BMTC Building, Vijayanagar Service Road, 8th Main Road, Hoshalli Extension, RPC Layout, Vijayanagar,, Bangalore, 560040"
"Thalaghattapura Police Station","police","12.8689461","77.5362854","Kanakapura Road"
"N/A","police","12.9081741","77.6368327",""
"Byadarahalli Police Station","police","12.9867684","77.491253","Magadi Road"
"High Grounds Traffic Police Station","police","12.9848902","77.5828907",""
"JC Nagara Police Station","police","13.0057165","77.5934124",""
"Ramamurthy Nagar Police Station","police","13.0041876","77.6659393","Kempegowda Underpass Road"
"Police Station","police","12.9965632","77.6425776",""
"Kengeri Police Station","police","12.9104906","77.4815428",""
"NIMHANS Police Outpost","police","12.9406149","77.5949214",""
"Mico Layout Traffic Police Station","police","12.9132041","77.6009835",""
"Chandra Layout Police Station","police","12.9589313","77.5283822",""
"Mahadevapura Traffic Police","police","12.9964893","77.6935636",""
"Office Of The Assistant Commissioner Whitefield Subdivision","police","12.9964748","77.6936783",""
"N/A","police","13.0747194","77.633371",""
"Cubbon Park Traffic Police Station","police","12.9760045","77.5981119",""
"Hebbal Traffic Police Station","police","13.0424185","77.5893069",""
"N/A","police","12.8715628","77.5760581",""
"Cybercrime Police Station","police","12.9903748","77.5929507",""
"Siddapura Police Station","police","12.9388722","77.5923803",""
"Whitefield Traffic Police Station","police","12.9942469","77.7571802",""
"Central Police Station","police","12.9601303","77.5720622",""
"Halasuru Gate Traffic Police Station","police","12.9665425","77.5870156","Cubbon Park Road, Opposite-BBMP Office, Cubbonpet,, Bangalore, 560002"
"CID Office","police","12.9814206","77.5855355",""
"Srirampura Police Station","police","12.9900504","77.5649365",""
"Cubbon Park Police Station","police","12.9762185","77.5982315",""
"Indira Nagar Police Station","police","12.9830254","77.6384064",""
"Additional Director General of Police","police","12.9779226","77.6010276",""
"Amrutahalli Police Station","police","13.0569304","77.5985304",""
"HAL Police Station","police","12.955069","77.6828084",""
"JP Nagar Police Station","police","12.9118515","77.5875409",""
"S.J. Park Police","police","12.9609483","77.5831297",""
"Madiwala Traffic Police Station","police","12.9210124","77.6206703","Madiwala Road, Santhosapuram, 1st Block Koramangala, Koramangala, Bengaluru, 560068"
"Mico Layout Police Station","police","12.908585","77.6106985",""
"Halasuru Police Station","police","12.9747988","77.6252645",""
"Ashok Nagar Police Station","police","12.9716319","77.6102037",""
"Kothanur Police Station","police","13.0555139","77.6463263",""
"HSR Police station","police","12.9201775","77.6513034",""
"Bellanduru Police Station","police","12.9190149","77.6679644","Sarjapur Road, PWD quarters, 1st sector, Bellandur, Bengaluru, 560103"
"Gangammagudi Police Station","police","13.0720972","77.5301925",""
"N/A","police","12.8766721","77.6000885",""
"Sadhashivanagar Police Station","police","13.0149658","77.5724873",""
"Yelahanka Police Station","police","13.095358","77.5938103",""
"High Grounds Police Station","police","12.9900595","77.5927243",""
"Mahalakshmipuram Police Station","police","13.0028414","77.547416",""
"Cyber Crime Police Station","police","12.9840887","77.5947229",""
"Commisioner of Police","police","12.9844786","77.5946399",""
"R T Nagar Traffic Police station","police","13.0333764","77.5886106",""
"KR Puram Police Station","police","13.0087574","77.6932934","New Police Station Road, Bangalore, 560036"
"Upparpet Traffic Police Station","police","12.9745187","77.5749342",""
"N/A","police","12.885446","77.671825",""
"Bellandur Traffic Police Station","police","12.9218103","77.6615877",""
"Police Headquarters","police","12.9695587","77.587855",""
"Department of Prisons & Correctional Services","police","12.9802646","77.5815071",""
"Adugodi Traffic Police Station","police","12.9415666","77.6087598","Corporation Complex,1st Floor, Hosur-Lashkar Road, Near-Vijaya Bank, Adugodi, Bangalore, 560030"
"Adugodi Police Station","police","12.9392272","77.6101711",""
"City Armed Reserve North","police","13.0753016","77.6356014",""
"Yeshwantpura Police Station","police","13.0178863","77.5584179",""
"Whitefield Police Station -Office of the Deputy Commisionner","police","12.9754425","77.7511388","Whitefield Main Road, 560066"
"Superintendent of Police","police","12.9895821","77.5920271",""
"Koramangala Police Station","police","12.9410977","77.6214106",""
"Pulakeshi Nagar Police Station","police","12.9993467","77.619613",""
"Rajaji Nagar Police Station","police","12.99461","77.5543664",""
"High Grounds Traffic Police Station","police","12.9847727","77.5829241",""
"Kumaraswamy Layout Police Station","police","12.9050939","77.5629547",""
"Viveknagar Police Station","police","12.9518683","77.622351",""
"Shivajinagar Traffic Police Station","police","12.9879685","77.6035505",""
"Konanakunte Police Station","police","12.8838351","77.5663627",""
"Marathahalli Police Station","police","12.9455492","77.6979473",""
"DJ Halli Police Station","police","13.0114152","77.6130934",""
"N/A","police","12.9654109","77.5100015",""
"Office of the Assisstant Commisioner of the Police","police","13.1001374","77.5839619",""
"Vijayanagara Traffic Police Station","police","12.9606478","77.5408201",""
"Wilson Garden Police Station","police","12.9501836","77.5961204",""
"Basavangudi Police Station","police","12.9421865","77.5743328",""
"Hennur Traffic Police Station","police","13.0706327","77.6363671",""
"Mahadevpura Police Station","police","12.9968133","77.6928379","Whitefield Road"
"N/A","police","12.9964924","77.6935887",""
"Baiyyapannahalli Police Station","police","12.9917352","77.6573426",""
"Banaswadi Police Station","police","13.0196732","77.6401561",""
"Subramanyanagar Police Station","police","13.0033745","77.5537585",""
"Bharthinagar Police Station","police","12.9911983","77.6120845","Frazer Town Police Station, Near-Mark Circle, Frazer Town, bangalore, 560005"
"RT Nagar Police Station","police","13.0246853","77.5931961",""
"Kadugondanahalli Traffic Police Station","police","13.0198144","77.619254",""
"Kadugondanahalli Police Station","police","13.0194119","77.6192385",""
"Rajarajeshwari Nagar Police Station","police","12.9128125","77.520516","Mysore Road, Rajarajeshwari Nagar, Sachidananda Nagar, RR Nagar, Bengaluru, 560098"
"KR Puram Traffic Police Station","police","13.0078716","77.6938172","Old Madras Road, K.R Puram, Bangalore"
"Varthur Police Station","police","12.9380254","77.7469329","Varthur Main Road"
"Basaveshwaranagar Police Station","police","12.9854169","77.5426024",""
"Hebbal Fire Station","fire_station","13.0482487","77.6185279",""
"ITI Fire Station","fire_station","13.0037983","77.6786402",""
"Bengaluru Secretariat Fire Station","fire_station","12.9777636","77.5888047",""
"N/A","fire_station","13.0280181","77.5208174",""
"Sarjapura Road Firestation","fire_station","12.9168126","77.6738567",""
"Office of the Chief Fire Officer","fire_station","12.9728364","77.6102567",""
"Mahadevapura Fire Station","fire_station","12.9984702","77.7023641",""
"Jayanagara Fire Station","fire_station","12.9337951","77.600289",""
"High Grounds Fire Station","fire_station","12.9805943","77.5799311",""
"Whitefield Fire Station","fire_station","12.9873201","77.7321113",""
"Nagarbhavi Fire Station","fire_station","12.9354153","77.5100279",""
"Anjanapura Fire Station","fire_station","12.8588406","77.5634538",""
"Hulimavu Fire Station","fire_station","12.8723517","77.5988148",""
"Banashankari Fire Station","fire_station","12.9221457","77.5611832",""
"Bengaluru North Fire Station","fire_station","12.9625043","77.5634324",""
"Peenya Fire Station","fire_station","13.0279503","77.5205608",""
"Fire Station","fire_station","13.0226214","77.5499132",""
"Yelahanka Fire Station","fire_station","13.125144","77.600951",""
"Rajajinagar Fire Station","fire_station","12.9806566","77.5485024",""
"Banaswadi Fire Station","fire_station","13.0116118","77.6459969",""
"Clinic","hospital","12.9134182","77.6774852",""
"Shanti Hospital","hospital","12.9235041","77.5857517",""
"Apollo Hospital","hospital","12.9263714","77.6765455","74/1, Bellandur, Ring Road, Varthur"
"Narayana Hrudayalaya Dental Clinic","hospital","12.9155759","77.6349897","Outer Ring Road"
"Dr Ganesh Medical and Diabetic Clinic","hospital","12.9129006","77.6419101",""
"JBS Hospital","hospital","12.9207173","77.5745968","Kanakapura Road"
"Jayanagar heart Centre","hospital","12.9231684","77.584433",""
"Sri Vijayalakshmi Pragathi Hospital","hospital","13.0371728","77.6409543",""
"Sathya Hospital","hospital","13.0185503","77.6364728",""
"Chord Road Hospital Pvt Ltd","hospital","12.9981215","77.5404836","#100/101, Lic Colony West Of Chord, Basaveshwaranagar"
"Pristline Hospital","hospital","12.9978931","77.5436127","Modi Hospital Road (West of Chord Road), Basaveshwara Nagar, Bangalore, 560079"
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited","hospital","12.9376734","77.5802836","202, R.V.Road"
"Manipal Northside Hospital","hospital","13.0011275","77.5639285","71, 11Th Main Road, Opposite Malleshwaram Railway Station, Malleshwaram"
"Government Primary Health Centre","hospital","12.9503234","77.6162619",""
