Sl No.,Finacial Year,BBMP Zone,BBMP Ward,Ward Number,No of Applications,Total Collection (Amount in lakhs),Latitude,Longitude
1,2016-2017,Yelahanka,Kempegowda Ward,1,6637,658.15,13.1007,77.5963
2,2016-2017,Yelahanka,Chowdeshwari Ward,2,8686,428.36,13.095,77.57
3,2016-2017,Yelahanka,Attur,3,15185,731.70,13.115,77.595
4,2016-2017,Yelahanka,Yelahanka Satellite town,4,9488,809.71,13.11,77.605
5,2016-2017,Yelahanka,Jakkur,5,18760,1290.44,13.082,77.592
6,2016-2017,Yelahanka,Thanisandra,6,17490,5882.86,13.065,77.62
7,2016-2017,Yelahanka,Byatarayanapura,7,16399,1729.75,13.068,77.571
8,2016-2017,Yelahanka,Kodigehalli,8,8486,642.40,13.046,77.576
9,2016-2017,Yelahanka,Vidyaranyapura,9,14591,873.14,13.06,77.553
10,2016-2017,Yelahanka,Doddabommasandra,10,5339,453.85,13.118,77.583
11,2016-2017,Yelahanka,Kuvempunagar,11,6446,254.47,13.075,77.605
12,2016-2017,Dasarahalli,Shettyhalli,12,13924,659.09,13.054,77.543
13,2016-2017,Dasarahalli,Mallasandra,13,5155,232.44,13.06,77.515
14,2016-2017,Dasarahalli,Bagalagunte,14,12626,906.72,13.05,77.53
15,2016-2017,Dasarahalli,T. Dasarahalli,15,3779,238.90,13.04,77.522
16,2016-2017,RR Nagara,Jalahalli,16,3907,538.98,13.022,77.543
17,2016-2017,RR Nagara,J.P.Park,17,7485,635.39,13.018,77.565
18,2016-2017,East,Radhakrishna Temple Ward,18,6931,793.27,13.01,77.635
19,2016-2017,East,Sanjaynagar,19,5354,480.32,13.02,77.6
20,2016-2017,East,Ganganagar,20,3179,408.54,13.038,77.605
21,2016-2017,East,Hebbal,21,4370,346.23,13.035,77.595
22,2016-2017,East,Vishwanatha Nagenahalli,22,7279,456.66,13.048,77.549
23,2016-2017,East,Nagavara,23,7049,500.41,13.053,77.625
24,2016-2017,East,HBR Layout,24,12099,955.22,13.033,77.641
25,2016-2017,Mahadevapura,Horamavu,25,32691,1984.77,13.032,77.656
26,2016-2017,Mahadevapura,Ramamurthynagar,26,14763,615.64,13.018,77.664
27,2016-2017,East,Banasawadi,27,10389,1111.98,13.021,77.649
28,2016-2017,East,Kammanahalli,28,4998,300.01,13.009,77.641
29,2016-2017,East,Kacharakanahalli,29,6894,707.90,13.005,77.63
30,2016-2017,East,Kadugondanahalli,30,3603,145.86,12.99,77.628
31,2016-2017,East,Kushalnagar,31,3140,125.97,13.015,77.665
32,2016-2017,East,Kavalbyrasandra,32,6307,411.78,13.0,77.618
33,2016-2017,East,Manorayanapalya,33,4135,331.41,13.027,77.53
34,2016-2017,East,Gangenahalli,34,2548,315.43,13.015,77.615
35,2016-2017,West,Aramane Nagar,35,5242,1198.13,13.008,77.578
36,2016-2017,West,Mathikere,36,4205,366.70,13.015,77.568
37,2016-2017,RR Nagara,Yeshwanthpur,37,3499,246.73,13.023,77.556
38,2016-2017,RR Nagara,H.M.T,38,5141,1612.62,13.06,77.524
39,2016-2017,Dasarahalli,Chokkasandra,39,7821,1015.76,13.052,77.538
40,2016-2017,RR Nagara,Doddabidarakallu,40,24733,720.57,13.057,77.509
41,2016-2017,Dasarahalli,Peenya Industrial Area,41,6029,1584.02,13.031,77.52
42,2016-2017,RR Nagara,Lakshmidevinagar,42,2545,425.87,13.01,77.508
43,2016-2017,West,Nandini Layout,43,5765,387.02,13.037,77.532
44,2016-2017,West,Marappanahalli,44,4630,868.20,13.032,77.558
45,2016-2017,West,Malleshwaram,45,4420,535.35,13.003,77.57
46,2016-2017,East,Jayachamarajendra Nagar,46,4268,369.41,12.994,77.62
47,2016-2017,East,Devarajeevanahalli,47,1209,46.50,12.986,77.623
48,2016-2017,East,Muneshwaranagar,48,1709,56.78,12.987,77.615
49,2016-2017,East,Lingarajapura,49,4224,219.12,12.98,77.645
