SL NO,District,Taluk,Hobli,Hobli/GP/Location,Date of Commission,Latitude,Longitude
1,Bangalore Urban,Bangalore East,Bidarahalli,Kadugodi,26-07-2013,12.9988,77.7394
2,Bangalore Urban,Bangalore East,Krishnarajapura,Banaswadi,24-06-2013,13.021,77.649
3,Bangalore Urban,Bangalore East,Krishnarajapura,Basavanapura,16-07-2013,13.005,77.708
4,Bangalore Urban,Bangalore East,Krishnarajapura,Benniganahalli,16-07-2013,12.992,77.673
5,Bangalore Urban,Bangalore East,Krishnarajapura,Dommalur,24-06-2013,12.962,77.654
6,Bangalore Urban,Bangalore East,Krishnarajapura,Garudacharpalya,25-07-2013,12.987,77.686
7,Bangalore Urban,Bangalore East,Krishnarajapura,Hagaduru,26-07-2013,13.035,77.718
8,Bangalore Urban,Bangalore East,Krishnarajapura,HAL Airport,12-07-2013,12.95,77.668
9,Bangalore Urban,Bangalore East,Krishnarajapura,HAL Airport-2,02-08-2014,12.948,77.67
10,Bangalore Urban,Bangalore East,Krishnarajapura,HBR Layout,15-07-2013,13.033,77.641
11,Bangalore Urban,Bangalore East,Krishnarajapura,Hoodi,23-07-2013,12.998,77.708
12,Bangalore Urban,Bangalore East,Krishnarajapura,Horamavu,24-06-2013,13.032,77.656
13,Bangalore Urban,Bangalore East,Krishnarajapura,Horamavu-2,18-07-2013,13.035,77.66
14,Bangalore Urban,Bangalore East,Krishnarajapura,Hoysala Nagar,15-07-2013,13.01,77.655
15,Bangalore Urban,Bangalore East,Krishnarajapura,K.R.Puram,16-07-2013,13.0052,77.6927
16,Bangalore Urban,Bangalore East,Krishnarajapura,Kammanahalli,27-07-2014,13.009,77.641
17,Bangalore Urban,Bangalore East,Krishnarajapura,Konena Agrahara,02-08-2014,12.97,77.678
18,Bangalore Urban,Bangalore East,Krishnarajapura,Kushalnagar,18-07-2013,13.015,77.665
19,Bangalore Urban,Bangalore East,Krishnarajapura,Pulakeshinagar,02-07-2013,12.992,77.612
20,Bangalore Urban,Bangalore East,Krishnarajapura,Radhakrishna Temple Ward,18-07-2014,12.996,77.635
21,Bangalore Urban,Bangalore East,Krishnarajapura,Ramamurthy Nagar,15-07-2013,13.018,77.664
22,Bangalore Urban,Bangalore East,Krishnarajapura,Sampangiramanagar,12-07-2013,12.962,77.593
23,Bangalore Urban,Bangalore East,Krishnarajapura,Sampangiramanagar-2,12-07-2013,12.964,77.595
24,Bangalore Urban,Bangalore East,Krishnarajapura,Vannarpet,12-07-2013,12.964,77.585
25,Bangalore Urban,Bangalore East,Krishnarajapura,Vijnana Nagara,02-08-2014,13.0,77.678
26,Bangalore Urban,Bangalore East,Varturu,Bellandur,24-06-2013,12.9304,77.6697
27,Bangalore Urban,Bangalore East,Varturu,Bellandur-2,26-07-2013,12.928,77.675
28,Bangalore Urban,Bangalore East,Varturu,Doddanekkundi,28-07-2014,12.985,77.709
29,Bangalore Urban,Bangalore East,Varturu,Marathahalli,12-08-2014,12.9591,77.7009
30,Bangalore Urban,Bangalore North,Yelahanka,Attur,12-07-2013,13.115,77.595
31,Bangalore Urban,Bangalore North,Yelahanka,Byatarayanapura,07-06-2013,13.068,77.571
32,Bangalore Urban,Bangalore North,Yelahanka,Chowdeshwari,11-07-2013,13.095,77.57
33,Bangalore Urban,Bangalore North,Yelahanka,Doddabommasandra,18-07-2013,13.118,77.583
34,Bangalore Urban,Bangalore North,Yelahanka,Jakkuru,07-06-2013,13.082,77.592
35,Bangalore Urban,Bangalore North,Yelahanka,Jakkuru-2,18-07-2014,13.085,77.594
36,Bangalore Urban,Bangalore North,Yelahanka,Kodigehalli,10-06-2013,13.046,77.576
